                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3799,                0.64369,                  1.266,                0.93395,                0.93185,                0.95377,                0.52631,                 1.5174,                0.62035,                 1.4483,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.377,                0.63805,                 1.2689,                0.94449,                0.93983,                0.95931,                0.54453,                 1.5009,                0.57997,                 1.4241,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3659,                0.63225,                 1.2502,                0.94054,                0.95415,                0.96555,                0.52421,                 1.5339,                0.59464,                  1.439,               0.000614,               0.000614,               0.000614
                     38,                 1.3739,                0.63891,                   1.25,                0.92919,                0.93997,                0.95725,                0.52343,                 1.5322,                0.59112,                 1.4558,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.3725,                0.63677,                 1.2711,                0.93648,                0.93983,                 0.9548,                0.51938,                 1.5325,                 0.5968,                 1.4514,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.3575,                0.61765,                 1.2448,                0.94171,                0.92837,                 0.9557,                0.53819,                 1.4973,                0.58719,                 1.4183,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.3354,                0.56301,                 1.3071,                0.93651,                0.93696,                0.95927,                0.53896,                 1.4966,                0.57018,                 1.4175,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.3302,                0.55779,                 1.3044,                0.94003,                0.93123,                0.96178,                0.53808,                 1.5091,                0.58572,                 1.4224,               0.000416,               0.000416,               0.000416
                     43,                 1.3075,                0.54211,                  1.289,                0.94023,                0.93123,                0.95557,                0.55086,                 1.5206,                0.57599,                 1.4274,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2882,                0.52816,                 1.2804,                0.93424,                0.93634,                0.95499,                0.53545,                 1.4988,                 0.5744,                 1.4229,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.2784,                0.51146,                 1.2699,                0.94144,                0.92837,                0.95662,                0.54389,                 1.5144,                0.56899,                 1.4312,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.2613,                0.51607,                 1.2605,                 0.9268,                0.94328,                0.95263,                0.53231,                 1.5111,                0.56274,                 1.4227,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.2692,                0.50576,                 1.2605,                0.93544,                0.92264,                0.95338,                0.54093,                 1.4977,                0.57393,                 1.4129,               0.000218,               0.000218,               0.000218
                     48,                 1.2543,                 0.5024,                 1.2742,                0.93425,                0.93635,                0.95601,                 0.5464,                 1.5052,                0.56592,                 1.4154,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.2441,                0.49329,                 1.2454,                0.92887,                0.93539,                0.95594,                0.54832,                 1.4908,                0.55733,                 1.4154,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.2233,                0.49591,                 1.2549,                0.93617,                0.93123,                0.95739,                0.55227,                 1.4892,                0.55601,                 1.4152,               9.92e-05,               9.92e-05,               9.92e-05
